                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.60248,                0.37145,                0.83757,                0.98928,                      1,                0.99378,                0.77194,                0.90171,                 0.3432,                0.95565,              9.905e-05,              9.905e-05,              9.905e-05
                     83,                0.60742,                0.37978,                0.84227,                0.98933,                      1,                0.99394,                0.77516,                0.90113,                0.34439,                0.95588,               9.41e-05,               9.41e-05,               9.41e-05
                     84,                0.59286,                0.37438,                0.83637,                0.98934,                      1,                0.99389,                0.77689,                 0.8898,                0.33935,                0.95136,              8.915e-05,              8.915e-05,              8.915e-05
                     85,                0.60037,                0.36446,                0.84473,                 0.9893,                      1,                0.99358,                0.77044,                0.89508,                0.34504,                0.95489,               8.42e-05,               8.42e-05,               8.42e-05
                     86,                 0.6052,                0.37774,                0.84791,                0.98931,                      1,                0.99305,                0.77944,                0.89268,                0.33951,                0.95221,              7.925e-05,              7.925e-05,              7.925e-05
                     87,                0.59027,                0.36897,                0.83435,                0.98932,                      1,                0.99293,                0.77698,                0.89387,                 0.3384,                0.95225,               7.43e-05,               7.43e-05,               7.43e-05
                     88,                0.59902,                0.37585,                0.84444,                0.98929,                      1,                0.99333,                0.76856,                0.89885,                0.34514,                0.95592,              6.935e-05,              6.935e-05,              6.935e-05
                     89,                0.60036,                0.37377,                0.83344,                0.99226,                      1,                 0.9936,                 0.7777,                 0.8887,                0.33526,                0.95168,               6.44e-05,               6.44e-05,               6.44e-05
                     90,                 0.6035,                0.38388,                0.84205,                0.99396,                      1,                0.99422,                0.77375,                0.88535,                0.33652,                 0.9524,              5.945e-05,              5.945e-05,              5.945e-05
                     91,                0.59899,                0.40533,                0.84598,                0.99427,                      1,                0.99448,                0.76004,                0.90012,                0.33845,                0.95782,               5.45e-05,               5.45e-05,               5.45e-05
                     92,                0.59295,                0.40717,                0.83559,                0.99409,                      1,                0.99459,                0.76122,                0.90782,                0.34473,                0.95962,              4.955e-05,              4.955e-05,              4.955e-05
                     93,                0.58303,                0.38755,                0.85287,                0.99402,                      1,                0.99422,                0.76655,                0.89984,                0.34211,                0.95506,               4.46e-05,               4.46e-05,               4.46e-05
                     94,                 0.5789,                0.38348,                  0.841,                0.99384,                      1,                0.99386,                0.76352,                0.91629,                 0.3478,                0.96015,              3.965e-05,              3.965e-05,              3.965e-05
                     95,                0.56432,                0.38588,                0.84159,                0.99375,                      1,                 0.9936,                0.76016,                0.91162,                0.34636,                0.95957,               3.47e-05,               3.47e-05,               3.47e-05
                     96,                 0.5648,                0.37748,                0.85275,                0.99382,                      1,                 0.9936,                0.77038,                0.89321,                0.34041,                0.95208,              2.975e-05,              2.975e-05,              2.975e-05
                     97,                0.56737,                0.37951,                0.84298,                0.99371,                      1,                 0.9937,                0.77219,                0.88995,                0.33813,                0.95004,               2.48e-05,               2.48e-05,               2.48e-05
                     98,                0.55718,                0.37735,                 0.8352,                0.99376,                      1,                0.99412,                0.76467,                0.90255,                0.34202,                0.95338,              1.985e-05,              1.985e-05,              1.985e-05
                     99,                0.56826,                0.37483,                0.83281,                0.99377,                      1,                0.99407,                 0.7642,                0.90515,                0.33927,                0.95467,               1.49e-05,               1.49e-05,               1.49e-05
                    100,                0.56243,                0.37468,                0.84312,                0.99378,                      1,                0.99412,                0.76681,                0.89965,                0.33811,                0.95263,               9.95e-06,               9.95e-06,               9.95e-06
