                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 0.6037,                0.13681,                 0.0605,                0.40461,                0.83752,                0.98703,                0.98612,                0.99453,                0.87188,                0.98508,                0.98418,                0.99168,                0.99045,                0.54948,                0.11811,                0.00883,                0.34875,                0.82356,              0.0099188,              0.0099188,              0.0099188
                     44,                0.57949,                0.13927,                0.05361,                0.40205,                0.83356,                0.99156,                0.98211,                0.99459,                0.88986,                0.99126,                0.97844,                0.99187,                 0.9903,                0.49382,                0.10446,                0.00703,                 0.3578,                0.81276,              0.0099168,              0.0099168,              0.0099168
                     45,                0.57233,                0.15147,                0.05947,                0.43229,                0.83603,                0.98583,                 0.9827,                0.99416,                0.89121,                0.98387,                0.98073,                0.99336,                0.99127,                 0.4956,                0.11537,                0.00851,                 0.3333,                0.81506,              0.0099149,              0.0099149,              0.0099149
                     46,                0.56958,                0.17035,                0.05593,                0.41064,                0.83347,                0.98674,                0.99036,                0.99478,                0.91737,                0.99172,                0.98303,                0.99414,                 0.9915,                0.41551,                0.09534,                0.00823,                 0.3152,                0.80264,              0.0099129,              0.0099129,              0.0099129
                     47,                0.58148,                0.17432,                0.05832,                0.42718,                0.84014,                0.98746,                0.98284,                0.99441,                0.90363,                0.98509,                0.97996,                0.99225,                 0.9878,                0.44636,                0.10376,                0.00899,                0.32373,                0.80803,              0.0099109,              0.0099109,              0.0099109
                     48,                0.56174,                 0.1715,                0.04979,                0.40058,                0.83544,                0.99109,                0.98394,                0.99451,                0.89616,                0.98722,                0.97845,                0.98908,                0.98521,                0.46347,                0.14155,                0.00634,                0.32672,                0.80745,              0.0099089,              0.0099089,              0.0099089
                     49,                0.59116,                 0.1922,                0.05127,                0.41013,                0.83376,                0.99428,                0.97942,                0.99439,                0.87813,                0.98205,                 0.9641,                0.97705,                0.96447,                 0.5187,                0.16324,                0.00754,                0.35092,                0.81627,              0.0099069,              0.0099069,              0.0099069
                     50,                0.58019,                 0.1643,                0.04947,                0.39268,                0.82665,                0.99237,                0.99063,                0.99473,                0.89976,                0.98991,                0.98539,                 0.9904,                0.98835,                  0.465,                0.10976,                0.00615,                0.32699,                0.80628,               0.009905,               0.009905,               0.009905
                     51,                0.56593,                0.15202,                0.05505,                0.39905,                0.83372,                0.97678,                0.97532,                0.99074,                0.89481,                0.91017,                0.90707,                0.88462,                0.85126,                0.48218,                0.49753,                0.01734,                0.34833,                0.81346,               0.009903,               0.009903,               0.009903
                     52,                0.58076,                0.14013,                0.05743,                0.40226,                0.83527,                0.97654,                0.95347,                0.98876,                0.87797,                0.82062,                0.82825,                0.78746,                0.76927,                0.51413,                 1.0208,                0.00822,                0.37684,                0.82022,               0.009901,               0.009901,               0.009901
